Date,Price
2/23/2020,65.8436
2/24/2020,65.7376
2/25/2020,65.8158
2/26/2020,67.9442
2/27/2020,68.7165
2/28/2020,68.3333
2/29/2020,66.3079
3/1/2020,67.6975
3/2/2020,67.5341
3/3/2020,66.2894
3/4/2020,64.68
3/5/2020,63.4801
3/6/2020,62.2221
3/7/2020,62.6699
3/8/2020,63.9462
3/9/2020,72.4703
3/10/2020,69.715
3/11/2020,68.8049
3/12/2020,85.9493
3/13/2020,123.7927
3/14/2020,115.4331
3/15/2020,129.7251
3/16/2020,170.5505
3/17/2020,152.7153
3/18/2020,144.2638
3/19/2020,133.3305
3/20/2020,139.3578
3/21/2020,135.3228
3/22/2020,137.9445
3/23/2020,139.6165
3/24/2020,134.6675
3/25/2020,131.5317
3/26/2020,130.4409
3/27/2020,113.6492
3/28/2020,116.3201
3/29/2020,118.1595
3/30/2020,113.9793
3/31/2020,108.2879
4/1/2020,106.3421
4/2/2020,108.9141
4/3/2020,106.478
4/4/2020,104.0695
4/5/2020,103.4074
4/6/2020,103.8716
4/7/2020,104.5734
4/8/2020,104.8591
4/9/2020,103.3419
4/10/2020,102.8953
4/11/2020,101.1926
4/12/2020,101.4276
4/13/2020,101.9388
4/14/2020,99.0747
4/15/2020,95.4446
4/16/2020,92.3967
4/17/2020,90.4962
4/18/2020,89.1038
4/19/2020,88.7599
4/20/2020,89.4189
4/21/2020,89.9342
4/22/2020,91.2366
4/23/2020,90.5642
4/24/2020,85.5005
4/25/2020,81.9356
4/26/2020,81.5649
4/27/2020,83.509
4/28/2020,84.614
4/29/2020,91.8903
4/30/2020,94.727
5/1/2020,92.7615
5/2/2020,90.3104
5/3/2020,91.2028
5/4/2020,96.3738
5/5/2020,93.9335
5/6/2020,96.1099
5/7/2020,98.332
5/8/2020,100.0465
5/9/2020,100.6276
5/10/2020,116.2984
5/11/2020,116.0684
5/12/2020,100.7904
5/13/2020,103.0138
5/14/2020,106.0123
5/15/2020,107.9152
5/16/2020,105.734
5/17/2020,111.1772
5/18/2020,109.9487
5/19/2020,105.1457
5/20/2020,103.4774
5/21/2020,101.1834
5/22/2020,96.5487
5/23/2020,90.5105
5/24/2020,90.4693
5/25/2020,90.6416
5/26/2020,88.858
5/27/2020,84.5418
5/28/2020,78.1639
5/29/2020,73.098
5/30/2020,77.1143
5/31/2020,83.5965
6/1/2020,81.3487
6/2/2020,85.5006
6/3/2020,80.3167
6/4/2020,78.4783
6/5/2020,75.5576
6/6/2020,75.2066
6/7/2020,76.6342
6/8/2020,75.4019
6/9/2020,75.3645
6/10/2020,76.757
6/11/2020,77.6432
6/12/2020,73.406
6/13/2020,72.1599
6/14/2020,75.2374
6/15/2020,76.3731
6/16/2020,75.58
6/17/2020,75.2733
6/18/2020,72.7231
6/19/2020,70.391
6/20/2020,70.6512
6/21/2020,71.1372
6/22/2020,71.231
6/23/2020,70.8318
6/24/2020,71.195
6/25/2020,69.019
6/26/2020,61.0858
6/27/2020,60.069
6/28/2020,62.6901
6/29/2020,62.0949
6/30/2020,60.3818
7/1/2020,57.5897
7/2/2020,55.2919
7/3/2020,54.0072
7/4/2020,55.6592
7/5/2020,57.9973
7/6/2020,59.5277
7/7/2020,61.0466
7/8/2020,62.9236
7/9/2020,63.7122
7/10/2020,60.7269
7/11/2020,61.2342
7/12/2020,61.7481
7/13/2020,61.6496
7/14/2020,60.9589
7/15/2020,61.5195
7/16/2020,61.2351
7/17/2020,58.0369
7/18/2020,57.0635
7/19/2020,58.0127
7/20/2020,57.1607
7/21/2020,58.2049
7/22/2020,58.364
7/23/2020,59.779
7/24/2020,57.7057
7/25/2020,58.5315
7/26/2020,64.1776
7/27/2020,78.3046
7/28/2020,73.0612
7/29/2020,70.3863
7/30/2020,66.7597
7/31/2020,67.1604
8/1/2020,76.0637
8/2/2020,83.2049
8/3/2020,79.1121
8/4/2020,77.6908
8/5/2020,77.1917
8/6/2020,76.0222
8/7/2020,76.3742
8/8/2020,74.7454
8/9/2020,74.2262
8/10/2020,73.7909
8/11/2020,78.4948
8/12/2020,74.2278
8/13/2020,72.7851
8/14/2020,78.4655
8/15/2020,84.9813
8/16/2020,87.2609
8/17/2020,85.7554
8/18/2020,85.8771
8/19/2020,81.9934
8/20/2020,76.9311
8/21/2020,75.7958
8/22/2020,75.8162
8/23/2020,74.7939
8/24/2020,73.701
8/25/2020,73.7044
8/26/2020,72.5659
8/27/2020,72.1712
8/28/2020,68.7425
8/29/2020,66.6122
8/30/2020,66.7676
8/31/2020,68.3376
9/1/2020,70.0088
9/2/2020,67.3533
9/3/2020,70.5126
