DATE,final_score
2020-06-16,-8.324239571094509
2020-06-17,-8.037563048517697
2020-06-18,-10.954660244965552
2020-06-19,-39.11451148855686
2020-06-20,-5.159971572685237
2020-06-21,-12.691326664018618
2020-06-22,-32.59934601813555
2020-06-23,-45.88580102593899
2020-06-24,13.21437861025332
2020-06-25,-9.924720740318293
2020-06-26,-49.270019498944286
2020-06-27,-57.4588849016428
2020-06-28,-30.70255240747929
2020-06-30,-92.0860137293756
2020-07-03,-21.975450355148325
2020-07-10,-23.772415380716325
2020-08-01,-34.44993435105681
2020-08-04,-31.600306391596803
2020-08-09,-81.11269041877985
2020-08-10,-45.59793824821115
2020-08-11,5.337355365705491
2020-08-12,-53.41193282903433
2020-08-14,-16.368639694988715
2020-08-15,-75.1703586317867
2020-08-16,27.839468311584
